0.11,0.0,0.0
0.22,0.0,0.0
0.33,0.0,0.0
0.47,0.0,0.0
0.58,0.0,0.0
0.7,0.0,0.0
0.84,0.0,0.0
0.98,0.0,-0.36
1.13,0.0,-2.4
1.27,-0.01,-6.33
1.43,-0.04,-10.96
1.53,-0.06,-14.03
1.64,-0.09,-17.05
1.76,-0.13,-20.05
1.87,-0.17,-22.92
1.98,-0.23,-25.78
2.1,-0.29,-28.58
2.22,-0.35,-31.29
2.34,-0.43,-34.05
2.45,-0.51,-36.7
2.57,-0.6,-39.26
2.68,-0.7,-41.84
2.8,-0.81,-44.3
2.9,-0.92,-46.73
3.02,-1.04,-49.16
3.12,-1.16,-51.52
3.22,-1.3,-53.84
3.32,-1.44,-56.11
3.42,-1.59,-58.37
3.5,-1.74,-60.53
3.59,-1.9,-62.65
3.67,-2.06,-64.79
3.75,-2.23,-66.85
3.79,-2.33,-67.9
3.85,-2.5,-69.88
3.92,-2.68,-71.83
3.95,-2.78,-72.83
4.0,-2.97,-74.91
4.05,-3.15,-77.68
4.08,-3.35,-81.49
4.1,-3.53,-86.38
4.11,-3.72,-92.72
4.08,-3.9,-100.51
4.04,-4.08,-109.63
3.97,-4.23,-120.01
3.87,-4.37,-131.12
3.74,-4.49,-143.63
3.59,-4.58,-156.44
3.42,-4.63,-169.37
3.24,-4.64,-182.09
3.06,-4.62,-194.25
2.89,-4.55,-206.81
2.73,-4.45,-218.64
2.6,-4.32,-230.04
2.49,-4.17,-239.99
2.41,-4.0,-248.67
2.36,-3.82,-257.06
2.33,-3.63,-265.39
2.32,-3.44,-273.29
2.35,-3.26,-280.14
2.39,-3.08,-285.74
2.45,-2.9,-290.06
2.51,-2.72,-292.83
2.58,-2.56,-293.84
2.65,-2.41,-293.5
2.73,-2.24,-292.81
2.79,-2.07,-292.15
2.86,-1.91,-291.53
2.93,-1.73,-290.89
3.0,-1.55,-290.27
3.06,-1.37,-289.66
3.13,-1.18,-289.06
3.19,-1.0,-288.47
3.22,-0.9,-288.18
3.28,-0.71,-287.61
3.32,-0.61,-287.34
3.35,-0.5,-287.04
3.41,-0.31,-286.49
3.47,-0.1,-285.96
3.5,0.0,-285.69
3.52,0.1,-285.43
3.55,0.2,-285.17
3.58,0.32,-284.91
3.61,0.42,-284.64
3.64,0.52,-284.4
3.66,0.62,-284.16
3.69,0.74,-283.9
3.72,0.85,-283.65
3.74,0.96,-283.4
3.77,1.06,-283.16
3.79,1.17,-282.93
3.82,1.28,-282.7
3.85,1.4,-282.45
3.87,1.51,-282.21
3.89,1.62,-281.99
3.92,1.73,-281.76
3.94,1.84,-281.54
3.96,1.96,-281.32
3.99,2.08,-281.09
4.01,2.2,-280.87
4.03,2.31,-280.62
4.05,2.42,-280.26
4.07,2.54,-279.68
4.09,2.66,-278.82
4.11,2.77,-277.69
4.12,2.88,-276.26
4.13,3.0,-274.51
4.14,3.1,-272.48
4.14,3.21,-270.11
4.14,3.33,-267.24
4.13,3.44,-263.98
4.12,3.54,-260.46
4.09,3.65,-256.76
4.06,3.76,-252.95
4.03,3.86,-249.26
3.99,3.96,-245.7
3.94,4.06,-242.09
3.88,4.16,-238.42
3.82,4.25,-234.87
3.76,4.34,-231.44
3.68,4.43,-227.96
3.61,4.51,-224.6
3.52,4.59,-221.27
3.43,4.66,-217.8
3.34,4.73,-214.44
3.24,4.79,-211.12
3.14,4.85,-207.75
3.03,4.9,-204.49
2.92,4.95,-201.27
2.82,4.99,-198.15
2.7,5.02,-194.98
2.59,5.05,-191.84
2.46,5.07,-188.74
2.35,5.09,-185.61
2.23,5.09,-182.72
2.11,5.1,-180.16
1.99,5.1,-177.85
1.88,5.09,-175.86
1.76,5.08,-174.22
1.65,5.07,-172.91
1.54,5.05,-172.03
1.43,5.04,-171.54
1.32,5.02,-171.41
1.2,5.0,-171.66
1.1,4.99,-172.24
0.99,4.97,-173.12
0.89,4.96,-174.24
0.77,4.95,-175.65
0.67,4.95,-177.24
0.56,4.94,-178.94
0.45,4.94,-180.7
0.33,4.94,-182.44
0.23,4.95,-184.12
0.12,4.96,-185.74
0.01,4.97,-187.35
-0.1,4.99,-188.98
-0.21,5.01,-190.64
-0.33,5.03,-192.25
-0.44,5.06,-193.83
-0.55,5.08,-195.41
-0.65,5.12,-196.92
-0.77,5.15,-198.47
-0.87,5.19,-200.0
-0.99,5.23,-201.51
-1.09,5.27,-203.01
-1.2,5.32,-204.5
-1.31,5.37,-206.0
-1.41,5.43,-207.45
-1.51,5.48,-208.88
-1.6,5.53,-210.24
-1.7,5.59,-211.58
-1.79,5.65,-212.96
-1.88,5.7,-214.31
-1.96,5.76,-215.6
-2.12,5.88,-218.12
-2.26,6.0,-220.51
-2.38,6.11,-222.82
-2.5,6.22,-225.12
-2.6,6.33,-227.28
-2.69,6.43,-229.34
-2.78,6.53,-231.37
-2.85,6.62,-233.27
-2.91,6.71,-235.13
-3.0,6.84,-237.78
-3.06,6.95,-240.29
-3.12,7.05,-242.68
-3.17,7.16,-245.62
-3.21,7.26,-248.99
-3.25,7.36,-253.82
